symptom_name;disease_common_name
depression mental;feeling suicidal
depression mental;suicidal
depression mental;hallucinations auditory
depression mental;feeling hopeless
depression mental;weepiness
depression mental;sleeplessness
depression mental;motor retardation
depression mental;irritable mood
depression mental;blackout
depression mental;mood depressed
depression mental;hallucinations visual
depression mental;worry
depression mental;agitation
depression mental;tremor
depression mental;intoxication
depression mental;verbal auditory hallucinations
depression mental;energy increased
depression mental;difficulty
depression mental;nightmare
depression mental;unable to concentrate
depression mental;homelessness
neoplasm metastasis;thicken
neoplasm metastasis;tumor cell invasion
neoplasm metastasis;metastatic lesion
neoplasm metastasis;pain neck
neoplasm metastasis;lung nodule
neoplasm metastasis;pain
neoplasm metastasis;pain abdominal
neoplasm metastasis;food intolerance
neoplasm metastasis;mass of body structure
neoplasm metastasis;atypia
hypothyroidism;shortness of breath
hypothyroidism;prostatism
hypothyroidism;drowsiness
hypothyroidism;sleepy
hypothyroidism;hyponatremia
hypothyroidism;fall
hypothyroidism;unsteady gait
hypothyroidism;polyuria
hypothyroidism;hypotension
hypothyroidism;difficulty
hypothyroidism;syncope
hypothyroidism;nightmare
hypothyroidism;speech slurred
hypothyroidism;weight gain
hypothyroidism;asthenia
hypothyroidism;fatigue
hypothyroidism;tired
hypothyroidism;agitation
hypothyroidism;mental status changes
hypothyroidism;motor retardation
hypothyroidism;vomiting
hypothyroidism;numbness
hypothyroidism;mass of body structure
malignant neoplasm of prostate;hematuria
malignant neoplasm of prostate;dysesthesia
malignant neoplasm of prostate;asthenia
malignant neoplasm of prostate;polymyalgia
malignant neoplasm of prostate;passed stones
malignant neoplasm of prostate;pleuritic pain
malignant neoplasm of prostate;guaiac positive
malignant neoplasm of prostate;rale
malignant neoplasm of prostate;breath sounds decreased
malignant neoplasm of prostate;urge incontinence
malignant neoplasm of prostate;dysuria
malignant neoplasm of prostate;diarrhea
malignant neoplasm of prostate;vertigo
malignant neoplasm of prostate;qt interval prolonged
malignant neoplasm of prostate;ataxia
malignant neoplasm of prostate;paresis
malignant neoplasm of prostate;hemianopsia homonymous
malignant neoplasm of prostate;tumor cell invasion
malignant neoplasm of prostate;hemodynamically stable
malignant neoplasm of prostate;mass of body structure
malignant neoplasm of prostate;rhonchus
malignant neoplasm of prostate;orthostasis
malignant neoplasm of prostate;decreased body weight
anemia;chill
anemia;guaiac positive
anemia;monoclonal
anemia;ecchymosis
anemia;tumor cell invasion
anemia;haemorrhage
anemia;pallor
anemia;asthenia
anemia;fatigue
anemia;heme positive
anemia;pain back
anemia;orthostasis
anemia;hyponatremia
anemia;dizziness
anemia;shortness of breath
anemia;pain
anemia;rhonchus
anemia;arthralgia
anemia;swelling
anemia;transaminitis
cholelithiasis;vomiting
cholelithiasis;nausea
cholelithiasis;pain abdominal
cholelithiasis;pain
cholelithiasis;cushingoid facies
cholelithiasis;cushingoidã¯â¿â½habitus
cholelithiasis;ascites
cholelithiasis;thicken
cholelithiasis;sore to touch
cholelithiasis;diarrhea
cholelithiasis;apyrexial
cholelithiasis;palpitation
cirrhosis;ascites
cirrhosis;fall
cirrhosis;splenomegaly
cirrhosis;pruritus
cirrhosis;pain abdominal
cirrhosis;tumor cell invasion
cirrhosis;distended abdomen
cirrhosis;lesion
cirrhosis;hemodynamically stable
cirrhosis;guaiac positive
cirrhosis;sore to touch
cirrhosis;bleeding of vagina
pneumothorax;dyspnea
pneumothorax;cardiovascular finding
pneumothorax;cardiovascular event
pneumothorax;haemoptysis
pneumothorax;cough
pneumothorax;hypercapnia
pneumothorax;soft tissue swelling
pneumothorax;prostatism
pneumothorax;agitation
migraine disorders;ambidexterity
migraine disorders;vomiting
migraine disorders;dizziness
migraine disorders;numbness
migraine disorders;nausea
migraine disorders;fever
migraine disorders;splenomegaly
pancreatitis;vomiting
pancreatitis;pain abdominal
pancreatitis;nausea
pancreatitis;pain
pancreatitis;diarrhea
pancreatitis;stool color yellow
pancreatitis;rigor - temperature-associated observation
pancreatitis;apyrexial
pancreatitis;sore to touch
hiv;fever
hiv;night sweat
hiv;spontaneous rupture of membranes
hiv;cough
hiv;
hiv;decreased body weight
hiv;chill
hiv;diarrhea
hiv;pleuritic pain
hiv;patient non compliance
hiv;tachypnea
hiv;productive cough
hiv;muscle hypotonia
hiv;hypotonic
hiv;feeling suicidal
bipolar disorder;feeling suicidal
bipolar disorder;energy increased
bipolar disorder;suicidal
bipolar disorder;irritable mood
bipolar disorder;agitation
bipolar disorder;has religious belief
bipolar disorder;disturbed family
bipolar disorder;hallucinations auditory
bipolar disorder;verbal auditory hallucinations
bipolar disorder;weepiness
bipolar disorder;behavior hyperactive
bipolar disorder;catatonia
bipolar disorder;feeling hopeless
bipolar disorder;worry
bipolar disorder;sleeplessness
bipolar disorder;hypersomnia
bipolar disorder;difficulty
bipolar disorder;hallucinations visual
bipolar disorder;hyperhidrosis disorder
bipolar disorder;mydriasis
bipolar disorder;extrapyramidal sign
bipolar disorder;loose associations
bipolar disorder;intoxication
