symptom_name;disease_common_name
Aging, Premature;acquired immunodeficiency syndrome
Aging, Premature;breast cancer
Aging, Premature;colon cancer
Aging, Premature;skin cancer
Aging, Premature;osteoporosis
Aging, Premature;rheumatoid arthritis
Aging, Premature;Alzheimer's disease
Aging, Premature;coronary artery disease
Aging, Premature;atherosclerosis
Aging, Premature;hypertension
Aging, Premature;systemic scleroderma
Aging, Premature;vitiligo
Aging, Premature;type 2 diabetes mellitus
Aging, Premature;metabolic syndrome X
Aging, Premature;obesity
Fever;acquired immunodeficiency syndrome
Fever;breast cancer
Fever;colon cancer
Fever;skin cancer
Fever;osteoporosis
Fever;rheumatoid arthritis
Fever;Alzheimer's disease
Fever;coronary artery disease
Fever;atherosclerosis
Fever;hypertension
Fever;systemic scleroderma
Fever;type 2 diabetes mellitus
Fever;obesity
Fever;leprosy
Fever;hepatitis B
Fever;malaria
Fever;uterine fibroid
Fever;muscle cancer
Fever;malignant glioma
Fever;melanoma
Fever;retroperitoneal cancer
Fever;esophageal cancer
Fever;rectum cancer
Fever;stomach cancer
Fever;liver cancer
Fever;pancreatic cancer
Fever;ovarian cancer
Fever;head and neck cancer
Fever;larynx cancer
Fever;hematologic cancer
Fever;brain cancer
Fever;meningioma
Fever;spinal cancer
Fever;mediastinal cancer
Fever;thymus cancer
Fever;uterine cancer
Fever;prostate cancer
Fever;kidney cancer
Fever;ankylosing spondylitis
Fever;ulcerative colitis
Fever;Crohn's disease
Fever;asthma
Fever;chronic obstructive pulmonary disease
Fever;multiple sclerosis
Fever;Parkinson's disease
Fever;epilepsy syndrome
Fever;migraine
Fever;Graves' disease
Fever;chronic kidney failure
Fever;Kawasaki disease
Fever;anemia
Fever;systemic lupus erythematosus
Fever;alopecia areata
Fever;type 1 diabetes mellitus
Fever;hypothyroidism
Fever;bipolar disorder
Fever;endogenous depression
Fever;schizophrenia
Fever;polycystic ovary syndrome
Fever;germ cell cancer
Fever;malignant mesothelioma
Fever;bone cancer
Fever;bile duct cancer
Fever;gallbladder cancer
Fever;appendix cancer
Fever;jejunal cancer
Fever;adrenal gland cancer
Fever;testicular cancer
Fever;ocular cancer
Fever;peripheral nervous system neoplasm
Fever;vascular cancer
Fever;vulva cancer
Fever;ureter cancer
Fever;urinary bladder cancer
Fever;Paget's disease of bone
Fever;psoriatic arthritis
Fever;gout
Fever;sclerosing cholangitis
Fever;celiac disease
Fever;pancreatitis
Fever;Behcet's disease
Fever;cleft lip
Fever;periodontitis
Fever;dental caries
Fever;idiopathic pulmonary fibrosis
Fever;intracranial aneurysm
Fever;Creutzfeldt-Jakob disease
Fever;glaucoma
Fever;age related macular degeneration
Fever;IgA glomerulonephritis
Fever;membranous glomerulonephritis
Fever;focal segmental glomerulosclerosis
Fever;gestational diabetes
Fever;dilated cardiomyopathy
Fever;abdominal aortic aneurysm
Fever;thoracic aortic aneurysm
Fever;atopic dermatitis
Fever;attention deficit hyperactivity disorder
Fever;autistic disorder
Hypothermia;Alzheimer's disease
Hypothermia;coronary artery disease
Hypothermia;hypertension
Hypothermia;type 2 diabetes mellitus
Hypothermia;obesity
Hypothermia;malaria
Hypothermia;malignant glioma
Hypothermia;stomach cancer
Hypothermia;liver cancer
Hypothermia;brain cancer
Hypothermia;spinal cancer
Hypothermia;mediastinal cancer
Hypothermia;thymus cancer
Hypothermia;prostate cancer
Hypothermia;kidney cancer
Hypothermia;asthma
Hypothermia;chronic obstructive pulmonary disease
Hypothermia;multiple sclerosis
Hypothermia;Parkinson's disease
Hypothermia;epilepsy syndrome
Hypothermia;migraine
Hypothermia;Graves' disease
Hypothermia;chronic kidney failure
Hypothermia;anemia
Hypothermia;systemic lupus erythematosus
Hypothermia;type 1 diabetes mellitus
Hypothermia;hypothyroidism
Hypothermia;bipolar disorder
Hypothermia;endogenous depression
Hypothermia;schizophrenia
Hypothermia;adrenal gland cancer
Hypothermia;pancreatitis
Hypothermia;idiopathic pulmonary fibrosis
Hypothermia;Creutzfeldt-Jakob disease
Hypothermia;abdominal aortic aneurysm
Hypothermia;attention deficit hyperactivity disorder
Body Weight;acquired immunodeficiency syndrome
Body Weight;breast cancer
Body Weight;colon cancer
Body Weight;skin cancer
Body Weight;osteoporosis
Body Weight;rheumatoid arthritis
Body Weight;Alzheimer's disease
Body Weight;coronary artery disease
Body Weight;atherosclerosis
Body Weight;hypertension
Body Weight;systemic scleroderma
Body Weight;vitiligo
Body Weight;type 2 diabetes mellitus
Body Weight;metabolic syndrome X
Body Weight;obesity
Body Weight;leprosy
Body Weight;hepatitis B
Body Weight;malaria
Body Weight;uterine fibroid
Body Weight;muscle cancer
Body Weight;malignant glioma
Body Weight;melanoma
Body Weight;retroperitoneal cancer
Body Weight;esophageal cancer
Body Weight;rectum cancer
Body Weight;stomach cancer
Body Weight;liver cancer
Body Weight;pancreatic cancer
Body Weight;ovarian cancer
Body Weight;head and neck cancer
Body Weight;larynx cancer
Body Weight;hematologic cancer
Body Weight;brain cancer
Body Weight;meningioma
Body Weight;spinal cancer
Body Weight;mediastinal cancer
Body Weight;thymus cancer
Body Weight;uterine cancer
Body Weight;prostate cancer
Body Weight;kidney cancer
Body Weight;ankylosing spondylitis
Body Weight;ulcerative colitis
Body Weight;Crohn's disease
Body Weight;asthma
Body Weight;chronic obstructive pulmonary disease
Body Weight;multiple sclerosis
Body Weight;Parkinson's disease
Body Weight;epilepsy syndrome
Body Weight;migraine
Body Weight;amyotrophic lateral sclerosis
Body Weight;restless legs syndrome
Body Weight;Graves' disease
Body Weight;chronic kidney failure
Body Weight;Kawasaki disease
Body Weight;anemia
Body Weight;systemic lupus erythematosus
Body Weight;alopecia areata
Body Weight;type 1 diabetes mellitus
Body Weight;hypothyroidism
Body Weight;panic disorder
Body Weight;bipolar disorder
Body Weight;endogenous depression
Body Weight;schizophrenia
Body Weight;polycystic ovary syndrome
Body Weight;germ cell cancer
Body Weight;malignant mesothelioma
Body Weight;bone cancer
Body Weight;bile duct cancer
Body Weight;gallbladder cancer
Body Weight;adrenal gland cancer
Body Weight;testicular cancer
Body Weight;ocular cancer
Body Weight;peripheral nervous system neoplasm
Body Weight;vascular cancer
Body Weight;vulva cancer
Body Weight;urinary bladder cancer
Body Weight;Paget's disease of bone
Body Weight;psoriatic arthritis
Body Weight;sclerosing cholangitis
Body Weight;celiac disease
Body Weight;pancreatitis
Body Weight;cleft lip
Body Weight;periodontitis
Body Weight;dental caries
Body Weight;idiopathic pulmonary fibrosis
Body Weight;intracranial aneurysm
Body Weight;glaucoma
Body Weight;age related macular degeneration
Body Weight;IgA glomerulonephritis
Body Weight;membranous glomerulonephritis
Body Weight;focal segmental glomerulosclerosis
Body Weight;gestational diabetes
Body Weight;dilated cardiomyopathy
Body Weight;abdominal aortic aneurysm
Body Weight;thoracic aortic aneurysm
Body Weight;atopic dermatitis
Body Weight;attention deficit hyperactivity disorder
Body Weight;autistic disorder
Body Weight;primary biliary cirrhosis
Body Weight;vaginal cancer
Body Weight;otosclerosis
Body Weight;Gilles de la Tourette syndrome
Body Weight;narcolepsy
Body Weight;refractive error
Body Weight;nephrolithiasis
Birth Weight;acquired immunodeficiency syndrome
Birth Weight;breast cancer
Birth Weight;skin cancer
Birth Weight;osteoporosis
Birth Weight;rheumatoid arthritis
Birth Weight;coronary artery disease
Birth Weight;atherosclerosis
Birth Weight;hypertension
Birth Weight;systemic scleroderma
Birth Weight;type 2 diabetes mellitus
Birth Weight;metabolic syndrome X
Birth Weight;obesity
Birth Weight;leprosy
Birth Weight;hepatitis B
Birth Weight;malaria
Birth Weight;uterine fibroid
Birth Weight;malignant glioma
Birth Weight;melanoma
Birth Weight;liver cancer
Birth Weight;ovarian cancer
Birth Weight;hematologic cancer
Birth Weight;brain cancer
Birth Weight;mediastinal cancer
Birth Weight;uterine cancer
Birth Weight;prostate cancer
Birth Weight;kidney cancer
Birth Weight;ankylosing spondylitis
Birth Weight;ulcerative colitis
Birth Weight;Crohn's disease
Birth Weight;asthma
Birth Weight;chronic obstructive pulmonary disease
Birth Weight;multiple sclerosis
Birth Weight;Parkinson's disease
Birth Weight;epilepsy syndrome
Birth Weight;Graves' disease
Birth Weight;chronic kidney failure
Birth Weight;anemia
Birth Weight;systemic lupus erythematosus
Birth Weight;type 1 diabetes mellitus
Birth Weight;hypothyroidism
Birth Weight;panic disorder
Birth Weight;bipolar disorder
Birth Weight;endogenous depression
Birth Weight;schizophrenia
Birth Weight;polycystic ovary syndrome
Birth Weight;germ cell cancer
Birth Weight;bone cancer
Birth Weight;adrenal gland cancer
Birth Weight;testicular cancer
Birth Weight;ocular cancer
Birth Weight;celiac disease
Birth Weight;cleft lip
Birth Weight;periodontitis
Birth Weight;dental caries
Birth Weight;intracranial aneurysm
Birth Weight;glaucoma
Birth Weight;age related macular degeneration
Birth Weight;IgA glomerulonephritis
Birth Weight;membranous glomerulonephritis
Birth Weight;gestational diabetes
Birth Weight;atopic dermatitis
Birth Weight;attention deficit hyperactivity disorder
Birth Weight;autistic disorder
Birth Weight;vaginal cancer
Birth Weight;Gilles de la Tourette syndrome
Birth Weight;refractive error
Birth Weight;conduct disorder
Weight Loss;acquired immunodeficiency syndrome
Weight Loss;breast cancer
Weight Loss;colon cancer
Weight Loss;skin cancer
Weight Loss;osteoporosis
Weight Loss;rheumatoid arthritis
Weight Loss;Alzheimer's disease
Weight Loss;coronary artery disease
Weight Loss;atherosclerosis
Weight Loss;hypertension
Weight Loss;systemic scleroderma
Weight Loss;vitiligo
Weight Loss;type 2 diabetes mellitus
Weight Loss;metabolic syndrome X
Weight Loss;obesity
Weight Loss;hepatitis B
Weight Loss;malaria
Weight Loss;malignant glioma
Weight Loss;melanoma
Weight Loss;retroperitoneal cancer
Weight Loss;esophageal cancer
Weight Loss;rectum cancer
Weight Loss;stomach cancer
Weight Loss;liver cancer
Weight Loss;pancreatic cancer
